"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"336968704342507520","Tue May 21 22:16:14 +0000 2013","4","Twilight Sparkle officially endorses the Xbox One.Alicorn princesses sure love that Xbox One (Sponsored by Micysoft) #MLPFacts #mylittlepony","336968704342507520","","","en","Equestria","0","1","2","https://x.com/MLP_FREE_FACTZ/status/336968704342507520","983788176","MLP_FREE_FACTZ"
"336877652675801088","Tue May 21 16:14:26 +0000 2013","1","Alicorn Twilight Sparkle hot as a teacher Buck Van Halen is in my head #mlp #brony http://t.co/upHw2MbKpm","336877652675801088","https://pbs.twimg.com/media/BKzUcLUCMAAiN8p.jpg","","en","Glasgow Scotland   ","0","1","2","https://x.com/Dashie41/status/336877652675801088","868885999","Dashie41"
"336662502802857984","Tue May 21 01:59:30 +0000 2013","0","I liked a @YouTube video http://t.co/z5DmCqgkFc Observations on MLP: Alicorn Princess Twilight Sparkle","336662502802857984","","","en","Toronto, Ontario","0","0","0","https://x.com/JohnAdamZio/status/336662502802857984","382755296","JohnAdamZio"
"336660667241209857","Tue May 21 01:52:12 +0000 2013","0","I liked a @YouTube video http://t.co/6VtliT5ZGX Why I am Happy that Twilight sparkle has become an Alicorn Princess","336660667241209857","","","en","Toronto, Ontario","0","0","0","https://x.com/JohnAdamZio/status/336660667241209857","382755296","JohnAdamZio"
"336633747418013696","Tue May 21 00:05:14 +0000 2013","0","Change Alicorn Twilight to Equestria Girls and this is more accurate. Twilicorn is so 3 months ago. ~OtakuBrony http://t.co/UagHrhWyaU","336633747418013696","","","en","Detroit, Michigan","0","1","0","https://x.com/Otaku_Brony/status/336633747418013696","58381600","Otaku_Brony"
"336232453616332800","Mon May 20 04:02:16 +0000 2013","0","@bryan_millett A lot of people want to leave the fandom because of Alicorn Twilight and Equestria Girls","336331010721583106","","Mentally_Wrong","en","Equestria, Corona","0","1","0","https://x.com/mlp_rapunzel/status/336331010721583106","856739755","mlp_rapunzel"
"336312248811270145","Mon May 20 02:53:42 +0000 2013","1","@kikibunny_ Which spoiler? The one where Twilight Sparkle becomes an Alicorn and helps Arya on her quest to kill all the dicks of weteros?","336313756474826753","","kikibunny_","en","Indiana","0","1","1","https://x.com/Ralod/status/336313756474826753","15693244","Ralod"
"336215958916050945","Sun May 19 23:09:09 +0000 2013","0","@MLP_Mike_132550 @Fire_Flame_Pony ^^ twilight is getting liked as an Alicorn","336257245316775938","","MLP_Mike_132550","en","Glasgow Scotland   ","0","1","0","https://x.com/Dashie41/status/336257245316775938","868885999","Dashie41"
"336229123867422721","Sun May 19 21:18:31 +0000 2013","0","@MLP_Alicorn_Twi Could you use @SpikeyWikey_MLP and i'll dm you the password okay twilight?","336229403463921664","","MLP_Alicorn_Twi","en","PonyVille/Equestria.","0","1","0","https://x.com/FashionUnicorn_/status/336229403463921664","1441917888","FashionUnicorn_"
"336227763717566465","Sun May 19 21:13:16 +0000 2013","0","@MLP_Alicorn_Twi Hello Twilight.","336228084544065536","","MLP_Alicorn_Twi","en","PonyVille/Equestria.","0","1","0","https://x.com/FashionUnicorn_/status/336228084544065536","1441917888","FashionUnicorn_"
"336215567038021634","Sun May 19 20:46:42 +0000 2013","0","@pixelkitties Well I guess there releasing some Alicorn Twilight stuff early. That's fine because I have to find one of those in Chicago.","336221398500524032","","pixelkitties","en","The Spencer Estate ","0","0","0","https://x.com/ZapAppleBloom/status/336221398500524032","944617548","ZapAppleBloom"
"336215567038021634","Sun May 19 20:40:03 +0000 2013","0","@pixelkitties I live in Chicago Il. and I hope I can find that because I love Twilight and I thought the Alicorn toys where due for fall?","336219722007863297","","pixelkitties","en","The Spencer Estate ","0","1","0","https://x.com/ZapAppleBloom/status/336219722007863297","944617548","ZapAppleBloom"
"336217244830937088","Sun May 19 20:30:12 +0000 2013","0","Yep. Everything in my garden is coming in months early and freaky giant huge big. I think it's because @mlp_Twilight's an alicorn now.","336217244830937088","","","en","","0","2","0","https://x.com/mlp_spike/status/336217244830937088","262742727","mlp_spike"
"336213319058853888","Sun May 19 20:14:36 +0000 2013","0","I liked a @YouTube video http://t.co/ZmEvRIj7GL Rarity Reacts to Twilight Sparkle Alicorn and Equestria Girls: The Ponies React","336213319058853888","","","en","","0","0","0","https://x.com/MRCakeDragonMan/status/336213319058853888","1319501976","MRCakeDragonMan"
"336207797345718274","Sun May 19 19:52:40 +0000 2013","2","Alicorn Twilight Sparkle fashion style! #mlpfim http://t.co/sKWoIn4ULG","336207797345718274","https://pbs.twimg.com/media/BKpzNdvCEAAbK2X.jpg","","en","USA","0","3","1","https://x.com/Ochibawolf/status/336207797345718274","52281580","Ochibawolf"
"336200318167683073","Sun May 19 19:22:56 +0000 2013","0","Hello Twilight. @MLP_Alicorn_Twi","336200318167683073","","","en","PonyVille/Equestria.","0","1","0","https://x.com/FashionUnicorn_/status/336200318167683073","1441917888","FashionUnicorn_"
"335948192409583617","Sun May 19 02:41:05 +0000 2013","0"," twilight sparkle alicorn controversy ","335948192409583617","","","en","","0","0","0","https://x.com/trajected/status/335948192409583617","14833155","trajected"
"335940384591069184","Sun May 19 02:10:03 +0000 2013","0","TWILIGHT SPARKLE IS A FUCKING ALICORN PRINCESS WTF ?","335940384591069184","","","en","Manhattan, NY","0","0","0","https://x.com/alanarichelle69/status/335940384591069184","14902518","alanarichelle69"
